second,Volt
+90.0000E-06,+1.8437500000E+00
+90.2000E-06,+1.8437500000E+00
+90.4000E-06,+1.8593750000E+00
+90.6000E-06,+1.8750000000E+00
+90.8000E-06,+1.9375000000E+00
+91.0000E-06,+1.9843750000E+00
+91.2000E-06,+2.0468750000E+00
+91.4000E-06,+2.0937500000E+00
+91.6000E-06,+2.1250000000E+00
+91.8000E-06,+2.1406250000E+00
+92.0000E-06,+1.9375000000E+00
+92.2000E-06,+921.8750000E-03
+92.4000E-06,+765.6250000E-03
+92.6000E-06,+546.8750000E-03
+92.8000E-06,+484.3750000E-03
+93.0000E-06,+562.5000000E-03
+93.2000E-06,+593.7500000E-03
+93.4000E-06,+593.7500000E-03
+93.6000E-06,+546.8750000E-03
+93.8000E-06,+515.6250000E-03
+94.0000E-06,+546.8750000E-03
+94.2000E-06,+546.8750000E-03
+94.4000E-06,+578.1250000E-03
+94.6000E-06,+593.7500000E-03
+94.8000E-06,+593.7500000E-03
+95.0000E-06,+562.5000000E-03
+95.2000E-06,+546.8750000E-03
+95.4000E-06,+515.6250000E-03
+95.6000E-06,+515.6250000E-03
+95.8000E-06,+500.0000000E-03
+96.0000E-06,+515.6250000E-03
+96.2000E-06,+546.8750000E-03
+96.4000E-06,+578.1250000E-03
+96.6000E-06,+578.1250000E-03
+96.8000E-06,+578.1250000E-03
+97.0000E-06,+593.7500000E-03
+97.2000E-06,+562.5000000E-03
+97.4000E-06,+562.5000000E-03
+97.6000E-06,+578.1250000E-03
+97.8000E-06,+578.1250000E-03
+98.0000E-06,+593.7500000E-03
+98.2000E-06,+625.0000000E-03
+98.4000E-06,+625.0000000E-03
+98.6000E-06,+625.0000000E-03
+98.8000E-06,+625.0000000E-03
+99.0000E-06,+625.0000000E-03
+99.2000E-06,+625.0000000E-03
+99.4000E-06,+625.0000000E-03
+99.6000E-06,+625.0000000E-03
+99.8000E-06,+625.0000000E-03
+100.0000E-06,+625.0000000E-03
+100.2000E-06,+625.0000000E-03
+100.4000E-06,+625.0000000E-03
+100.6000E-06,+609.3750000E-03
+100.8000E-06,+609.3750000E-03
+101.0000E-06,+593.7500000E-03
+101.2000E-06,+593.7500000E-03
+101.4000E-06,+578.1250000E-03
+101.6000E-06,+593.7500000E-03
+101.8000E-06,+593.7500000E-03
+102.0000E-06,+593.7500000E-03
+102.2000E-06,+593.7500000E-03
+102.4000E-06,+593.7500000E-03
+102.6000E-06,+578.1250000E-03
+102.8000E-06,+578.1250000E-03
+103.0000E-06,+593.7500000E-03
+103.2000E-06,+593.7500000E-03
+103.4000E-06,+578.1250000E-03
+103.6000E-06,+609.3750000E-03
+103.8000E-06,+609.3750000E-03
+104.0000E-06,+609.3750000E-03
+104.2000E-06,+609.3750000E-03
+104.4000E-06,+625.0000000E-03
+104.6000E-06,+625.0000000E-03
+104.8000E-06,+625.0000000E-03
+105.0000E-06,+625.0000000E-03
+105.2000E-06,+625.0000000E-03
+105.4000E-06,+609.3750000E-03
+105.6000E-06,+625.0000000E-03
+105.8000E-06,+625.0000000E-03
+106.0000E-06,+625.0000000E-03
+106.2000E-06,+625.0000000E-03
+106.4000E-06,+625.0000000E-03
+106.6000E-06,+609.3750000E-03
+106.8000E-06,+609.3750000E-03
+107.0000E-06,+593.7500000E-03
+107.2000E-06,+609.3750000E-03
+107.4000E-06,+625.0000000E-03
+107.6000E-06,+609.3750000E-03
+107.8000E-06,+593.7500000E-03
+108.0000E-06,+593.7500000E-03
+108.2000E-06,+609.3750000E-03
+108.4000E-06,+578.1250000E-03
+108.6000E-06,+578.1250000E-03
+108.8000E-06,+593.7500000E-03
+109.0000E-06,+593.7500000E-03
+109.2000E-06,+593.7500000E-03
+109.4000E-06,+593.7500000E-03
+109.6000E-06,+593.7500000E-03
+109.8000E-06,+593.7500000E-03
+110.0000E-06,+593.7500000E-03
+110.2000E-06,+593.7500000E-03
+110.4000E-06,+609.3750000E-03
+110.6000E-06,+609.3750000E-03
+110.8000E-06,+609.3750000E-03
+111.0000E-06,+625.0000000E-03
+111.2000E-06,+625.0000000E-03
+111.4000E-06,+593.7500000E-03
+111.6000E-06,+593.7500000E-03
+111.8000E-06,+625.0000000E-03
+112.0000E-06,+1.2812500000E+00
+112.2000E-06,+1.7500000000E+00
+112.4000E-06,+1.9375000000E+00
+112.6000E-06,+2.1718750000E+00
+112.8000E-06,+2.2187500000E+00
+113.0000E-06,+2.1562500000E+00
+113.2000E-06,+2.1406250000E+00
+113.4000E-06,+2.1406250000E+00
+113.6000E-06,+2.1562500000E+00
+113.8000E-06,+2.1875000000E+00
+114.0000E-06,+2.1562500000E+00
+114.2000E-06,+2.1250000000E+00
+114.4000E-06,+2.0937500000E+00
+114.6000E-06,+2.0781250000E+00
+114.8000E-06,+2.0625000000E+00
+115.0000E-06,+2.0937500000E+00
+115.2000E-06,+2.1093750000E+00
+115.4000E-06,+2.1250000000E+00
+115.6000E-06,+2.1250000000E+00
+115.8000E-06,+2.1250000000E+00
+116.0000E-06,+1.9062500000E+00
+116.2000E-06,+906.2500000E-03
+116.4000E-06,+703.1250000E-03
+116.6000E-06,+484.3750000E-03
+116.8000E-06,+437.5000000E-03
+117.0000E-06,+500.0000000E-03
+117.2000E-06,+562.5000000E-03
+117.4000E-06,+562.5000000E-03
+117.6000E-06,+515.6250000E-03
+117.8000E-06,+531.2500000E-03
+118.0000E-06,+500.0000000E-03
+118.2000E-06,+546.8750000E-03
+118.4000E-06,+578.1250000E-03
+118.6000E-06,+578.1250000E-03
+118.8000E-06,+593.7500000E-03
+119.0000E-06,+578.1250000E-03
+119.2000E-06,+578.1250000E-03
+119.4000E-06,+546.8750000E-03
+119.6000E-06,+562.5000000E-03
+119.8000E-06,+546.8750000E-03
+120.0000E-06,+562.5000000E-03
+120.2000E-06,+578.1250000E-03
+120.4000E-06,+578.1250000E-03
+120.6000E-06,+593.7500000E-03
